"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
202;"ARGENS A CHATEAUVERT 2";"06202750";943188;6273147;155798;2009-09-10;0,737;NA;1,4;11,5;10;161;161;3,6;NA;"";"continue";"continue";NA;"Carrelets du radier A non retrouvés (crue & dépôt de sédiments)";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Argens";15;26;40,5;55,48;0,512;30,443;2,847;8,442;8,769;0,567;0,342;0,327;18,956;9,095;19,627;12,974;14,527;2,123;1,537;1,364;6,184;48,165;13,172;0,838;0,008;0,217;0,624;2,502;0,193;0,679;2,146;101,29;0,176;36,869;3;0,289;30;0;0,866;3;13,592;85,437;0,971;1,13;336,7;0,32;6;"MEDITERRANEEN";0;1,43;5,986;211,402;16,294;0;-0,228;-0,116;-0,316;-0,119;-0,157;-0,286;-0,767;-0,369;-0,659;-0,464;-0,266;-0,627;3,152;"MEDITERRANEEN";"tres faible"
203;"CASALUNA A GAVIGNANO ";"06213400";1212344;6168461;156516;2009-09-15;0,151;NA;0,8;12,7;5,9;149;177,8;16,3;NA;"";"continue";"semi-continue";NA;"Pas d'évaluation du colmatage : substrat = dalle couverte de granulo plus fine sur quelques cm d'épaisseur de manières éparse (cf. transect). 
Présence d'un bras de décharge de crue en RD du T10.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Casaluna";15;37,84;67;123;0,887;43,555;0,93;5,156;5,321;0,316;0,176;0,17;17,565;4,136;7,223;10,881;11,445;1,068;0,662;0,631;10,272;100,867;2,805;0,915;0,009;0,125;0,7;1,41;0,13;0,405;1,077;99,312;0,162;41,886;4;0,12;30;0;1,212;2;19,31;36,552;44,138;1,853;97,22;0,86;16;"CORSE";0;1,03;7,512;1201,191;110,396;0;-0,485;-0,22;-1,175;-0,312;0,125;-0,798;-1,694;-0,927;-1,606;-0,916;0,248;-1,37;6,761;"CORSE";"moyen"
204;"GOLO A VOLPAJOLA ";"06213800";1220009;6177152;156582;2009-09-15;0,81;0,818;2;28,3;14,3;404;396,2;5,9;NA;"";"bosquets éparses";"bosquets éparses";NA;"RG le long de la station et au delà du plein bord talus d'enrochement d'un chemin en contrebas de la N193.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Golo";15;13;55;306,4;2,107;18,552;6,27;16,837;17,068;0,686;0,347;0,342;27,002;3,438;30,176;27,687;28,464;1,694;1,097;1,066;16,848;61,684;8,314;0,841;0,009;0,27;0,722;3,694;0,133;0,289;1,698;99,844;0,091;17,671;3;0,31;30;1;0,31;4;9,392;43,094;47,514;2,101;926,66;0,881;16;"CORSE";0;1,07;1,12;64,824;2,341;0;0,092;-0,005;-0,889;0,037;-0,213;0,098;0,322;-0,021;-1,214;0,108;-0,423;0,169;2,258;"CORSE";"tres faible"
205;"BEVINCO A RUTALI ";"06215000";1222445;6186927;156599;2009-09-17;0,101;0,134;1,5;12,5;10,2;188,5;175;21,4;NA;"";"semi-continue";"semi-continue";NA;"Débit mesuré sur site 12 jours après les relevés CARHYCE.
Pas d'évaluation du colmatage : substrat = dalle couverte de granulo plus fine sur quelques cm d'épaisseur de manières éparse (cf. transect).";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bevinco";15;54,84;99;151,16;0,914;62,156;1,907;6,837;6,994;0,469;0,246;0,239;18,129;0,939;5,904;10,395;10,751;0,925;0,559;0,539;11,936;113,051;0,537;1,143;0,012;0,233;0,871;3,336;0,321;0,115;0,926;98,584;0,053;12,155;3;0,433;30;0;1,126;2;1,235;50,617;48,148;1,986;50,68;0,997;16;"CORSE";0;1,04;2,394;502,582;48,347;1;-0,427;0,011;0,302;-0,424;0,201;-0,846;-1,493;0,045;0,413;-1,244;0,399;-1,452;5,046;"CORSE";"faible"
206;"FIUM ALTO A PENTA-DI-CASINCA ";"06219000";1232414;6171343;156838;2009-09-17;0,31;NA;2,5;34;18;443;476;28;NA;"";"continue";"continue";NA;"Partie aval de la station (jusque T4): lit divisé en 2 puis 3 bras avec côtes de fonds différentes (escalier RD vers RG) sans visibilité d'une rive à l'autre pour caler fiablement les hteurs.
En aval T1= longue mouille. Nouveau radier ou plat crt trop dé";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Alto";15;17,84;40,5;116,16;1,393;24,293;4,071;11,511;11,793;0,689;0,362;0,348;20,955;0,919;26,801;22,836;23,779;1,914;1,198;1,139;12,338;312,867;4,496;4,474;0,048;0,347;0,924;8,969;0,393;0,198;1,917;94,566;0,059;63,679;4;0,529;30;0;0,866;3;13,095;34,524;52,381;2,006;114,8;0,997;16;"CORSE";0;1,08;5,274;1448,662;63,437;0;0,23;-0,058;0,261;0,263;0,716;0,473;0,804;-0,242;0,357;0,77;1,42;0,812;4,406;"CORSE";"tres faible"
207;"GAPEAU A BELGENTIER 1";"06300092";943715;6242830;157126;2009-09-11;0,226;NA;0,9;12,3;6,5;172,2;172,2;8,8;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Gapeau";15;35;160;264;1,546;50,607;1,032;5,359;5,475;0,331;0,192;0,187;17,267;7,134;45,636;12,792;18,02;4,473;3,58;2,558;2,864;220,846;57,13;1,673;0,017;0,122;0,623;2,092;0,164;1,277;4,557;103,468;0,216;395,072;5;0,089;30;30;0,31;4;3,65;19,708;76,642;1,479;127,64;0,137;6;"MEDITERRANEEN";0;1,05;6,171;532,73;41,645;0;0,064;-0,868;-1,3;0,907;0,335;1,147;0,217;-2,771;-2,711;3,521;0,566;2,518;12,303;"MEDITERRANEEN";"tres fort"
208;"ORAIN A CHAUSSIN 4";"06310200";885912;6657084;157254;2009-06-23;0,171;NA;1,4;14,4;9,9;201;201,6;1,19;NA;"";"semi-continue";"semi-continue";NA;"A1 = Amont rive droite
B1 = Aval rive droite";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Orain";15;18;27;39,16;0,581;19,789;2,278;9,034;9,177;0,424;0,248;0,242;31,03;5,609;26,621;15,733;17,469;2,265;1,709;1,534;7,058;17,911;6,852;0,821;0,008;0,207;0,807;2,077;0,132;0,26;2,269;101,725;0,064;5,163;3;0,377;30;11;0,39;4;1,667;90,833;7,5;1,532;206,91;0;15;"PLAINE SAONE";0;1,11;23,49;274,22;17,43;0;0,235;0,179;0,765;0,063;0,26;0,356;0,627;0,468;0,642;0,079;0,206;0,479;2,5;"Plaine/collinéen détritique";"tres faible"
209;"CLAUGE A LA-LOYE 1";"06464800";896432;6664436;158909;2009-06-12;0,202;NA;0,8;12,6;5,5;177;176,4;2,26;NA;"";"continue";"continue";NA;"pente calculée sur la station de pêche
A1 = aval rive droite
B1 = amont rive droite";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Clauge";9;12,68;21,5;44;1,012;14,792;0,986;8,634;8,706;0,252;0,139;0,136;56,132;16,316;9,223;18,213;18,495;0,838;0,526;0,517;23,378;11,466;4,609;0,306;0,003;0,13;1,152;6,73;0,369;0,53;0,853;100,487;0,236;6,204;3;0,214;18;0;NA;2;7,042;92,958;0;1,589;105,98;0,406;15;"PLAINE SAONE";0;1,37;9,749;216,141;11,867;0;0,613;1,423;0,279;-0,748;0,496;-0,274;2,017;4,502;0,155;-2,028;0,576;-0,683;9,962;"Plaine/collinéen détritique";"tres fort"
210;"CUISANCE A VADANS 2";"06468000";905287;6650730;159009;2009-08-12;0,377;NA;1,7;18,9;11,83;265;264,6;1,17;NA;"";"continue";"continue";NA;"A1 = Amont rive droite
B1 = Aval rive droite";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Cuisance";15;31;48,5;68,48;0,596;35,762;3,77;9,47;9,708;0,635;0,394;0,383;17,855;5,545;25,569;17,404;18,544;2,287;1,478;1,381;7,746;15,849;6,014;0,901;0,009;0,266;0,66;2,633;0,151;0,241;2,29;101,5;0,064;4,064;3;0,351;30;16;NA;3;10,101;76,768;13,131;1,802;118,84;0,003;5;"JURA-PREALPES DU NORD";0;1,07;22,478;257,996;14,824;0;-0,141;-0,291;0,311;0,153;-1,589;-0,033;-0,367;-0,86;0,52;0,692;-1,562;-0,063;4,064;"JURA-PREALPES DU NORD";"tres faible"
211;"GALAURE A ST-BARTHELEMY-DE-VALS ";"06580341";845200;6455102;159870;2009-09-24;0,563;0,546;1,7;16,7;12,1;238;233,8;6,24;NA;"";"continue";"isolée";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Galaure";15;20,68;54;93,16;1,075;25,501;2,403;8,775;9,005;0,467;0,272;0,265;20,582;7,196;22,031;14,204;15,389;2,097;1,557;1,436;6,827;87,925;15,943;0,934;0,009;0,165;0,576;1,827;0,129;0,736;2,125;100,929;0,189;69,993;4;0,187;30;16;0,606;3;21,359;54,369;24,272;2,081;226,31;0,091;5;"JURA-PREALPES DU NORD";0;1,03;6,665;407,994;28,724;0;-0,606;-0,547;-0,488;-0,067;0,427;-0,577;-1,58;-1,616;-0,815;-0,305;0,42;-1,112;5,847;"JURA-PREALPES DU NORD";"faible"
212;"VERNAISSON A ST-MARTIN-EN-VERCORS 2";"06580362";891881;6436495;159925;2009-09-23;0,149;NA;0,8;11,7;5,9;168;163,8;7,17;NA;"";"semi-continue";"semi-continue";NA;"Pas de station Hydro";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Vernaisson";15;32;97;180;1,727;48,426;1,604;6,476;6,659;0,441;0,248;0,237;19,528;2,866;12,658;12,016;12,849;1,595;1,076;1;7,804;70,34;3,072;0,667;0,007;0,237;0,952;1,853;0,154;0,244;1,598;100,569;0,076;18,396;4;0,369;30;1;0,39;3;43,529;41,765;14,706;1,782;177,36;0;5;"JURA-PREALPES DU NORD";0;1,04;23,58;1658,563;138,033;0;-0,674;-0,364;0,254;-0,291;0,437;-0,981;-1,758;-1,076;0,425;-1,319;0,429;-1,893;6,9;"JURA-PREALPES DU NORD";"moyen"
213;"BEVERA A MOULINET 1";"06700075";1053883;6329560;161781;2009-10-15;0,037;NA;0,6;9;4,175;0;126;98,13;NA;"";"continue";"continue";NA;"A4: pas de tache, mais bâtonnet incomplètement enfoncé.
Radier B: inexistant, car impossible à mettre en place au regard de la morphologie du cours d'eau.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bevera";15;44,52;76,5;125,96;0,856;51,315;0,464;2,575;2,719;0,273;0,143;0,133;12,469;0,979;6,963;7,296;8,379;1,466;0,966;0,834;5,055;802,45;1,892;4,01;0,043;0,167;0,964;1,633;0,224;0,289;1,471;95,045;0,096;262,708;3;0,331;30;0;1,299;2;0;37,634;62,366;1,707;9,25;0,723;2;"ALPES INTERNES";0;1,13;0,845;813,444;111,499;0;-0,237;-0,197;1,027;-0,028;0,163;-0,256;-0,56;-0,522;1,733;-0,116;0,245;-0,442;3,618;"ALPES INTERNES";"tres faible"
214;"LOUP A TOURRETTE-SUR-LOUP 6";"06700175";1026528;6297112;161858;2009-10-15;0,613;NA;1,5;17,8;10,5;249,2;249,2;8,3;NA;"";"continue";"continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Loup";15;43,68;105;197,16;1,033;50,769;3,116;9,551;9,76;0,621;0,336;0,328;16,982;4,541;18,944;15,797;16,572;1,819;1,212;1,153;8,768;93,89;8,619;0,896;0,009;0,221;0,672;2,747;0,174;0,463;1,83;100,174;0,135;45,728;5;0,175;30;0;1,083;2;5,6;37,6;56,8;2,031;232,79;0;7;"PREALPES DU SUD";0;1,14;27,711;2256,313;142,83;0;-0,66;-0,632;0,162;-0,028;-0,1;-0,658;-1,383;-1,242;0,253;-0,107;-0,334;-1,183;4,501;"PREALPES DU SUD";"faible"
215;"OUVEZE A ROMPON 2";"06820013";837026;6408328;71873;2009-10-06;0,154;NA;1,7;28,8;12,2;406;403,2;4,6;NA;"Embâcles";"bosquets éparses";"continue";NA;"Pas de station Hydro
Seuil juste en amont de la station";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ouveze";15;16,2;56;125;1,586;24,648;2,203;10,323;10,418;0,417;0,214;0,212;27,211;2,903;26,957;24,461;24,938;1,663;1,105;1,084;14,748;48,92;5,602;0,742;0,007;0,165;0,723;3,456;0,141;0,217;1,666;100,322;0,068;10,542;5;0,126;30;7;0,736;3;35,065;55,844;9,091;1,957;122,27;0,385;8;"CEVENNES";0;1,07;22,477;1014,297;41,467;0;-0,227;0,117;-1,164;-0,372;-0,51;-0,558;-0,67;0,438;-3,201;-1,377;-1,088;-1,051;7,826;"CEVENNES";"fort"
216;"VAREZE A COUR-ET-BUIS 1";"06820073";860163;6484528;162568;2009-05-27;0,058;NA;0,6;13;4,13;182;182;13,07;NA;"";"continue";"continue";NA;"Pas De station Hydro sur ce cours d'eau";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Vareze";15;32,84;60;125,16;0,891;41,762;0,6;4,159;4,286;0,262;0,143;0,135;26,787;3,205;8,947;12,167;12,855;1,245;0,768;0,714;10,316;91,536;2,619;0,923;0,009;0,182;1,266;3,576;0,294;0,302;1,25;99,799;0,111;30,074;3;0,382;30;0;1,083;3;26,23;67,623;6,148;1,737;21,51;0;5;"JURA-PREALPES DU NORD";0;1,15;0,519;66,544;5,469;0;0,197;0,339;0,846;-0,101;-0,082;-0,035;0,514;1,001;1,414;-0,46;-0,081;-0,067;3,537;"JURA-PREALPES DU NORD";"tres faible"
217;"SOULOISE A ST-DISDIER-EN-DEVOLUY ";"06820164";928876;6408473;162777;2009-10-08;0,069;NA;1;10;6,83;140;140;14,45;NA;"";"continue";"continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Souloise";15;82,84;147;283,2;0,903;102,126;0,579;5,095;5,155;0,218;0,113;0,112;28,879;4,272;7,756;10,553;10,963;1,056;0,738;0,71;10,055;100,647;3,17;0,727;0,007;0,1;0,798;0,805;0,076;0,41;1,065;99,835;0,153;42,821;4;0,115;30;0;0,866;3;15,385;41,538;43,077;1,834;133,87;0;7;"PREALPES DU SUD";0;1,03;22,44;3180,971;301,43;0;-0,708;-0,244;-0,053;-0,467;0,262;-1,102;-1,484;-0,478;-0,082;-1,794;0,871;-1,982;6,691;"PREALPES DU SUD";"moyen"
218;"MENOGE A ARTHAZ-PONT-NOTRE-DAME ";"06830152";951039;6568274;163389;2009-07-23;0,636;NA;2;41,5;14,8;581;581;9,88;NA;"";"continue";"semi-continue";NA;"Station Hydro située 7.5 km en amont de la station carhyce. Données non disponibles à cette période.
";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Menoge";15;11;43,5;137,96;1,71;16,997;2,672;13,58;13,697;0,41;0,211;0,209;39,506;6,804;35,332;39,351;40,013;1,627;0,934;0,918;24,45;88,941;22,566;1,748;0,018;0,173;0,898;16,735;0,425;0,725;1,657;98,377;0,248;63,765;5;0,176;30;0;0,13;1;28,391;55,205;16,404;2,021;160,76;0,159;5;"JURA-PREALPES DU NORD";0;1,24;14,92;1446,088;36,748;0;0,552;0,797;-0,459;-0,25;0,705;0,106;1,439;2,353;-0,767;-1,136;0,693;0,203;6,593;"JURA-PREALPES DU NORD";"moyen"
219;"CANUT (NORD) À LASSY";"04211550";337884;6773670;129264;2010-06-17;0,118;0,031;1,1;8,75;7,6;122,5;NA;3,5;NA;"";"bosquets éparses";"espacée-régulière";NA;"Protocole à la suite PE RCS
Baton A4 non retrouvé";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Canut (nord)";15;15,84;44;71,16;1,01;19,532;1,2;5,954;6,076;0,3;0,207;0,202;27,182;4,837;7,462;8,355;9,031;1,157;0,905;0,833;7,446;28,601;1,89;0,478;0,005;0,148;0,714;1,503;0,18;0,258;1,16;100,646;0,087;8,006;2;0,25;30;0;0,072;4;11,236;85,393;3,371;1,826;100,05;1;12;"ARMORICAIN";0;1,35;6,418;220,362;26,374;0;-0,213;-0,048;0,45;-0,152;0,527;-0,29;-0,982;-0,174;1,092;-0,759;0,512;-0,927;4,447;"ARMORICAIN";"tres faible"
220;"ILLET à ERCE-PRES-LIFFRE";"04205605";367211;6803916;128994;2010-08-26;0,01;0,066;0,35;3;2,5;42;NA;0,05;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Illet";15;14;33;60,16;1,059;15,943;0,398;2,246;2,414;0,243;0,173;0,16;10,814;12,089;2,892;3,389;4,525;1,131;0,853;0,636;3,013;0,312;0,183;0,481;0,005;0,086;0,484;0,442;0,13;0,065;1,131;100,887;0,023;0,027;3;0,096;30;0;0,087;4;58,586;37,374;4,04;2,041;25,6;1;12;"ARMORICAIN";0;1,07;1,712;0,84;0,248;0;-0,549;-0,742;-0,25;0,179;-4,443;-0,296;-2,532;-2,699;-0,608;0,889;-4,316;-0,945;11,99;"ARMORICAIN";"tres fort"
221;"COUESNON à ROMAZY";"04162300";366702;6817922;123711;2010-08-25;485;557;2;16;14;224;NA;1,9;NA;"";"semi-continue";"isolée";NA;"Baton A1 non retrouvé";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Couesnon";15;17,84;36,5;70,8;1,012;23,693;3,368;12,438;12,572;0,404;0,271;0,268;33,115;7946,515;28,001;16,655;18,139;2,072;1,686;1,545;8,062;28,793;12961,183;0,819;0,008;0,15;0,572;1,81;0,109;466,865;11196,883;11296,266;115,073;14648,806;2;0,168;30;0;0,271;4;8,491;84,906;6,604;1,786;521,24;0,998;12;"ARMORICAIN";0;1,11;33,106;617,063;37,049;0;-0,209;-0,224;-0,251;0,002;0,79;-0,109;-0,966;-0,813;-0,608;0,008;0,767;-0,347;3,51;"ARMORICAIN";"tres faible"
222;"L'OZE A DARCEY 1";"03040250";815944;6716086;97843;2010-05-17;0,692;NA;1,08;9,3;7,55;130;NA;2,8;NA;"";"semi-continue";"semi-continue";NA;"Il manque un bâtonnet.
La pente de la ligne d'eau est issue des données IGN, pas des relevés de terrain.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Oze";15;20,941;33,18;50,48;0,704;23,576;2,635;6,473;6,773;0,643;0,412;0,39;13,031;9,298;16,084;10,38;11,897;2,191;1,552;1,351;4,79;37,096;9,669;0,842;0,008;0,264;0,658;1,135;0,109;0,611;2,211;101,385;0,157;25,891;2;0,271;30;0;0,541;3;28,395;70,37;1,235;1,972;200,8;0;10;"COTES CALCAIRES EST";0;1,11;8,434;231,665;22,318;0;-0,135;-0,475;-0,128;0,316;0,347;0,236;-0,671;-1,826;-0,374;1,327;0,396;0,654;5,249;"COTES CALCAIRES EST";"faible"
223;"L'OURCE A AUTRICOURT 1";"03006590";820315;6768165;94035;2010-05-26;1,697;NA;2;20;14;280;NA;1,25;NA;"";"semi-continue";"semi-continue";NA;"Pas de bâtonnets retrouvés sur l'aval.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ource";15;8,84;21,5;37,16;1,017;10,774;6,553;12,769;13,052;0,787;0,518;0,505;18,359;11,551;31,07;20,582;21,583;2,199;1,527;1,454;9,455;17,824;16,282;0,802;0,008;0,292;0,571;4,01;0,195;0,533;2,214;101,252;0,138;9,986;3;0,259;30;0;0,39;4;13,265;74,49;12,245;2,169;572,23;0;10;"COTES CALCAIRES EST";0;1,18;46,496;570,157;27,702;0;0,192;0,109;-0,461;0,06;-0,309;0,287;0,953;0,418;-1,344;0,251;-0,353;0,796;4,114;"COTES CALCAIRES EST";"tres faible"
224;"NIEVRE à DOMPIERRE-SUR-NIEVRE";"04025040";718907;6681738;115870;2010-06-08;0,491;NA;0,9;7,33;6,3;102;NA;3,5;NA;"";"semi-continue";"semi-continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Nievre";15;9,84;21;45,32;1,068;12,517;1,442;7,38;7,497;0,34;0,212;0,207;27,324;16,448;6,188;9,417;9,902;0,888;0,671;0,632;11,178;21,707;4,436;0,326;0,003;0,123;0,629;3,051;0,324;0,756;0,919;100,399;0,295;17,541;4;0,068;30;0;0,541;3;9,091;88,636;2,273;1,825;130,5;0;10;"COTES CALCAIRES EST";0;1,06;5,082;174,49;18,53;0;-0,085;0,412;-1,4;-0,481;0,508;-0,469;-0,423;1,581;-4,083;-2,023;0,58;-1,301;9,991;"COTES CALCAIRES EST";"tres fort"
225;"LA LAWE À DIVION (62)";"01071000";666449;7040963;165976;2010-06-29;0,381;0,665;0,8;13;5,7;182;NA;4,7;NA;"";"continue";"continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Lawe";15;16,84;32,5;55,16;0,85;20,039;1,82;6,25;6,546;0,497;0,305;0,281;18,633;7,121;22,197;12,789;14,296;2,503;1,775;1,582;5,208;72,944;14,714;1,1;0,011;0,289;1,01;2,952;0,231;0,678;2,527;101,603;0,164;55,609;2;0,569;30;0;1,299;2;20,635;68,254;11,111;2,071;116,66;0,051;9;"TABLES CALCAIRES";0;1,07;3,927;181,062;14,158;0;0,326;-0,318;1,026;0,63;0,761;1,005;1,246;-0,834;2,175;1,852;0,945;2,217;9,269;"TABLES CALCAIRES";"tres fort"
226;"LA LYS RIVIÈRE À DELETTES (62)";"01053000";644150;7058231;165969;2010-06-30;1,041;1,2;1,2;12,8;10,25;180;NA;3,8;NA;"";"bosquets éparses";"isolée";NA;"Alternance de 2 équipes sur le terrain une équipe a débuté RG l'autre RD.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Lys";15;32;51;70;0,559;36,685;4,6;9,675;10,007;0,804;0,483;0,464;14,416;6,121;17,196;13,791;14,876;1,889;1,257;1,161;7,493;43,291;7,169;0,755;0,008;0,307;0,636;1,857;0,135;0,425;1,898;100,754;0,123;19,734;5;0,209;30;0;0,231;4;13,208;79,245;7,547;2,031;206,01;0,068;9;"TABLES CALCAIRES";0;1,07;8,625;321,523;23,315;0;0,227;-0,008;-0,034;0,229;0,793;0,45;0,87;-0,022;-0,073;0,675;0,985;0,994;3,618;"TABLES CALCAIRES";"tres faible"
227;"L'ÉCAILLON À VERCHAIN MAUGRE (59)";"01028000";732327;7021460;165956;2010-07-06;0,491;NA;0,7;16,5;4,83;230;NA;1,73;NA;"";"semi-continue";"absence";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ecaillon";15;30,84;46,5;71;0,597;35,739;2,08;4,682;5,056;0,658;0,445;0,408;7,821;10,319;27,729;15,037;17,398;3,557;1,848;1,594;4,226;27,052;16,24;1,298;0,013;0,252;0,566;1,663;0,111;0,591;3,575;102,718;0,139;18,53;3;0,298;30;0;NA;3;65,686;26,471;7,843;1,974;173,03;0,014;9;"TABLES CALCAIRES";0;1,25;7,064;119,885;7,973;0;0,367;-0,564;0,338;0,899;-0,069;1,02;1,405;-1,48;0,717;2,643;-0,085;2,251;8,581;"TABLES CALCAIRES";"fort"
228;"LA HANTE À BOUSIGNIES SUR ROC (59)";"01001503";784463;7019748;165941;2010-07-07;0,131;NA;1,1;12,7;7,83;178;NA;5,29;NA;"";"continue";"continue";NA;"Présence de 2 embâcles en partie végétalisé et d'un banc alluvial sur un radier.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Hante";15;15;30,5;56,16;0,913;18,883;2,156;6,65;6,817;0,433;0,28;0,271;22,396;1,997;22,851;13,382;15,011;2,523;1,699;1,509;5,362;78,288;4,366;1,067;0,011;0,31;0,985;2,158;0,161;0,202;2,525;101,622;0,05;17,323;4;0,371;30;4;0,65;3;14,773;60,227;25;2,258;1356,61;0,088;22;"ARDENNES";0;1,11;0;0;0;0;-0,404;-0,347;-0,177;-0,075;1,416;-0,458;-1,965;-1,352;-0,138;-0,174;1,299;-1,132;6,06;"Colinéen Est";"moyen"
229;"L'HOGNEAU À GUSSIGNIES (59)";"01001336";752673;7026489;165939;2010-08-25;0,215;NA;1,3;20,27;9,6;280;NA;2,38;NA;"";"continue";"continue";NA;"sur toute la station présence d'ardoise / pierre bleue très abondante
13 transects car les 2 derniers étaient trop dangereux /hauteur de mur trop importante/";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Hogneau";13;34,84;58;92,16;0,664;41,57;1,986;7,025;7,19;0,451;0,277;0,269;17,984;5,325;39,026;18,296;20,4;3,36;2,141;1,916;5,451;44,743;15,642;1,263;0,013;0,205;0,733;2,807;0,153;0,41;3,369;102,649;0,09;20,434;3;0,256;26;3;1,299;2;11,94;62,687;25,373;1,962;89,46;0,045;20;"DEPOTS ARGILO SABLEUX";0;1,16;5,821;135,908;7,428;0;0,676;-0,021;0,481;0,687;0,445;1,278;2,25;-0,178;0,357;1,699;0,496;2,18;7,16;"Plaine/collinéen détritique";"moyen"
